"Name","Location","Year","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Seats","Price"
"Hyundai Xcent 1.2 Kappa SX","Kolkata","2016.0","32000.0","Petrol","Manual","First","19.1 kmpl","1197 CC","82 bhp","5.0","3.6"
"Hyundai i20 1.2 Magna","Ahmedabad","2010.0","65000.0","Petrol","Manual","First","18.5 kmpl","1197 CC","80 bhp","5.0","3.0"
"Maruti Celerio VXI AT","Hyderabad","2016.0","21600.0","Petrol","Automatic","First","23.1 kmpl","998 CC","67.04 bhp","5.0","4.65"
"Mercedes-Benz New C-Class C 220 CDI Elegance AT","Mumbai","2010.0","39000.0","Diesel","Automatic","First","14.84 kmpl","2143 CC","170 bhp","5.0","9.5"
"Maruti Swift Dzire VXi","Mumbai","2011.0","58075.0","Petrol","Manual","First","17.5 kmpl","1298 CC","85.8 bhp","5.0","2.95"
"Volkswagen Vento Petrol Trendline","Mumbai","2011.0","58000.0","Petrol","Manual","First","15.04 kmpl","1598 CC","103.6 bhp","5.0","3.0"
"Maruti Swift ZDi","Hyderabad","2015.0","58000.0","Diesel","Manual","First","25.2 kmpl","1248 CC","74 bhp","5.0","5.95"
"Toyota Corolla Altis VL","Delhi","2008.0","89000.0","Petrol","Automatic","First","14.53 kmpl","1798 CC","138.1 bhp","5.0","4.0"
"Honda Civic 2006-2010 1.8 V MT","Delhi","2008.0","72000.0","Petrol","Manual","First","13.5 kmpl","1799 CC","130 bhp","5.0","2.5"
"Ford EcoSport 1.5 Ti VCT AT Titanium BE","Kolkata","2017.0","1800.0","Petrol","Automatic","First","16.05 kmpl","1499 CC","110.4 bhp","5.0","11.37"
"Fiat Linea Emotion Pack (Diesel)","Pune","2010.0","172050.0","Diesel","Manual","Second","19.0 kmpl","1248 CC","93 bhp","5.0","2.25"
"Hyundai i10 Era","Jaipur","2013.0","46230.0","Petrol","Manual","First","19.81 kmpl","1086 CC","68.05 bhp","5.0","3.1"
"Volvo XC60 D5 Inscription","Kochi","2014.0","86925.0","Diesel","Automatic","First","11.2 kmpl","2400 CC","215 bhp","5.0","17.18"
"Hyundai i20 1.2 Asta","Jaipur","2018.0","5000.0","Petrol","Manual","First","18.6 kmpl","1197 CC","81.83 bhp","5.0","6.5"
"Honda City i DTEC S","Ahmedabad","2014.0","66000.0","Diesel","Manual","First","26.0 kmpl","1498 CC","98.6 bhp","5.0","5.7"
"Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV","Ahmedabad","2013.0","119000.0","Diesel","Manual","First","12.99 kmpl","2494 CC","100 bhp","8.0","8.0"
"Renault KWID RXT","Chennai","2016.0","45000.0","Petrol","Manual","First","25.17 kmpl","799 CC","53.3 bhp","5.0","2.6"
"Maruti A-Star Vxi","Hyderabad","2009.0","66149.0","Petrol","Manual","First","19.0 kmpl","998 CC","66.1 bhp","5.0","2.45"
"Mercedes-Benz B Class B180","Kochi","2014.0","42070.0","Petrol","Automatic","First","14.8 kmpl","1595 CC","120.7 bhp","5.0","11.57"
"Maruti Wagon R LXI BS IV","Kolkata","2012.0","35503.0","Petrol","Manual","First","18.9 kmpl","998 CC","67.1 bhp","5.0","2.3"
"Maruti Swift VDI BSIV","Jaipur","2016.0","41460.0","Diesel","Manual","First","25.2 kmpl","1248 CC","74 bhp","5.0","5.9"
"Hyundai Verna VTVT 1.6 AT SX Option","Mumbai","2015.0","40600.0","Petrol","Automatic","First","17.0 kmpl","1591 CC","121.3 bhp","5.0","7.2"
"Hyundai Verna CRDi 1.6 AT SX Option","Ahmedabad","2013.0","87000.0","Diesel","Automatic","First","22.0 kmpl","1582 CC","126.2 bhp","5.0","5.9"
"Honda City V MT","Chennai","2014.0","30000.0","Petrol","Manual","Second","16.8 kmpl","1497 CC","116.3 bhp","5.0","6.0"
"Hyundai i10 Magna Optional 1.1L","Kolkata","2010.0","27089.0","Petrol","Manual","First","16.0 kmpl","1086 CC","66.7 bhp","5.0","1.95"
"Toyota Etios GD SP","Coimbatore","2016.0","53702.0","Diesel","Manual","First","23.59 kmpl","1364 CC","67.04 bhp","5.0","6.55"
"Volvo S60 D4 Momentum","Hyderabad","2015.0","51000.0","Diesel","Automatic","First","27.03 kmpl","1969 CC","190 bhp","5.0","25.0"
"Ford Figo Diesel EXI","Kolkata","2012.0","36542.0","Diesel","Manual","First","20.0 kmpl","1399 CC","68.05 bhp","5.0","2.65"
"Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade","Mumbai","2017.0","15000.0","Diesel","Automatic","First","13.0 kmpl","2987 CC","265 bhp","5.0","69.5"
"BMW 3 Series 320d Luxury Line","Chennai","2012.0","65000.0","Diesel","Automatic","First","22.69 kmpl","1995 CC","190 bhp","5.0","14.0"
"Maruti Alto 800 VXI","Pune","2014.0","32000.0","Petrol","Manual","Second","22.74 kmpl","796 CC","47.3 bhp","5.0","2.1"
"Toyota Innova Crysta 2.4 VX MT","Hyderabad","2017.0","24393.0","Diesel","Manual","First","13.68 kmpl","2393 CC","147.8 bhp","7.0","20.4"
"Volkswagen Polo 1.0 MPI Trendline","Hyderabad","2019.0","1000.0","Petrol","Manual","First","18.78 kmpl","999 CC","75 bhp","5.0","5.68"
"Nissan Terrano XL","Mumbai","2014.0","28238.0","Petrol","Manual","First","13.24 kmpl","1598 CC","102.5 bhp","5.0","5.55"
"Mitsubishi Pajero Sport 4X4","Mumbai","2013.0","59000.0","Diesel","Manual","First","13.5 kmpl","2477 CC","175.56 bhp","7.0","12.75"
"Honda Civic 2010-2013 1.8 S MT","Mumbai","2012.0","92000.0","Petrol","Manual","Second","14.8 kmpl","1799 CC","130.2 bhp","5.0","3.35"
"Maruti Alto 800 LXI","Kolkata","2013.0","56840.0","Petrol","Manual","First","22.74 kmpl","796 CC","47.3 bhp","5.0","1.55"
"Volkswagen Vento Diesel Highline","Coimbatore","2013.0","62746.0","Diesel","Manual","Second","20.54 kmpl","1598 CC","103.6 bhp","5.0","5.9"
"Land Rover Freelander 2 HSE","Hyderabad","2012.0","96000.0","Diesel","Automatic","First","12.35 kmpl","2179 CC","187.74 bhp","5.0","18.98"
"Honda CR-V 2.0L 2WD MT","Mumbai","2014.0","24000.0","Petrol","Manual","First","13.7 kmpl","1997 CC","153.86 bhp","5.0","11.51"
"Maruti Ertiga VDI","Mumbai","2016.0","54000.0","Diesel","Manual","First","20.77 kmpl","1248 CC","88.76 bhp","7.0","7.75"
"Toyota Innova 2.5 GX (Diesel) 7 Seater","Chennai","2016.0","90000.0","Diesel","Manual","First","12.99 kmpl","2494 CC","100.6 bhp","7.0","13.9"
"Tata Manza Aura Safire","Kolkata","2010.0","40000.0","Petrol","Manual","First","15.0 kmpl","1368 CC","90 bhp","5.0","1.35"
"Audi Q7 35 TDI Quattro Premium Plus","Mumbai","2015.0","65938.0","Diesel","Automatic","Second","12.07 kmpl","2967 CC","241.4 bhp","7.0","38.0"
"Hyundai Verna 1.6 SX VTVT (O) AT","Mumbai","2017.0","16100.0","Petrol","Automatic","First","17.1 kmpl","1591 CC","121.4 bhp","5.0","11.6"
"Volkswagen Vento 1.5 Highline Plus AT 16 Alloy","Hyderabad","2017.0","3600.0","Diesel","Automatic","First","21.5 kmpl","1498 CC","108.5 bhp","5.0","12.25"
"Honda City 1.5 S MT","Jaipur","2011.0","52000.0","Petrol","Manual","First","17.0 kmpl","1497 CC","118 bhp","5.0","3.8"
"Ford Figo Diesel Titanium","Mumbai","2014.0","54000.0","Diesel","Manual","First","20.0 kmpl","1399 CC","68.05 bhp","5.0","3.25"
"Honda Jazz 1.2 VX i VTEC","Mumbai","2016.0","15399.0","Petrol","Manual","First","18.7 kmpl","1199 CC","88.7 bhp","5.0","6.4"
"Volkswagen Polo Petrol Highline 1.2L","Bangalore","2012.0","75000.0","Petrol","Manual","Second","16.47 kmpl","1198 CC","73.9 bhp","5.0","3.95"
"Honda City i-VTEC S","Delhi","2010.0","76752.0","Petrol","Manual","First","17.4 kmpl","1497 CC","117.3 bhp","5.0","3.57"
"Honda City ZX GXi","Mumbai","2005.0","56000.0","Petrol","Manual","Second","17.7 kmpl","1497 CC","78 bhp","5.0","1.25"
"Maruti Wagon R LXI CNG","Pune","2015.0","70000.0","CNG","Manual","First","26.2 km/kg","998 CC","58.2 bhp","5.0","3.65"
"Honda CR-V 2.4L 4WD AT AVN","Kolkata","2013.0","46125.0","Petrol","Automatic","Second","12.0 kmpl","2354 CC","187.4 bhp","5.0","12.5"
"BMW 5 Series 2013-2017 520d Luxury Line","Ahmedabad","2014.0","35000.0","Diesel","Automatic","Second","18.12 kmpl","1995 CC","190 bhp","5.0","23.0"
"Ambassador Classic Nova Diesel","Chennai","2003.0","80000.0","Diesel","Manual","Third","12.8 kmpl","1489 CC","35.5 bhp","5.0","1.35"
"Mahindra Scorpio VLX 2.2 mHawk BSIII","Coimbatore","2012.0","62729.0","Diesel","Manual","First","12.05 kmpl","2179 CC","120 bhp","8.0","6.32"
"Volkswagen Vento Diesel Comfortline","Kolkata","2012.0","34000.0","Diesel","Manual","First","20.54 kmpl","1598 CC","103.6 bhp","5.0","3.4"
"Maruti Zen VX","Jaipur","1999.0","70000.0","Petrol","Manual","Second","17.3 kmpl","993 CC","60 bhp","5.0","0.77"
"Maruti 800 DX BSII","Jaipur","2009.0","32000.0","Petrol","Manual","First","16.1 kmpl","796 CC","37 bhp","4.0","0.9"
"Toyota Corolla Altis 1.8 VL CVT","Delhi","2017.0","21000.0","Petrol","Automatic","First","14.28 kmpl","1798 CC","138.03 bhp","5.0","18.0"
"BMW 3 Series 328i Sport Line","Pune","2013.0","49000.0","Petrol","Automatic","First","14.59 kmpl","1997 CC","245 bhp","5.0","19.0"
"Ford Ikon 1.3 Flair","Chennai","2007.0","40000.0","Petrol","Manual","Third","13.8 kmpl","1299 CC","70 bhp","5.0","1.1"
"Chevrolet Beat LT","Pune","2012.0","78000.0","Petrol","Manual","Second","18.6 kmpl","1199 CC","79.4 bhp","5.0","2.0"
"Toyota Corolla Altis 1.4 DG","Ahmedabad","2012.0","52000.0","Diesel","Manual","First","21.43 kmpl","1364 CC","86.79 bhp","5.0","6.5"
"Mahindra XUV500 W4","Bangalore","2014.0","65213.0","Diesel","Manual","First","16.0 kmpl","2179 CC","140 bhp","7.0","9.45"
"Hyundai Xcent 1.1 CRDi Base","Mumbai","2016.0","170000.0","Diesel","Manual","First","24.4 kmpl","1120 CC","71 bhp","5.0","4.0"
"Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde","Kochi","2017.0","36884.0","Diesel","Automatic","First","13.0 kmpl","2143 CC","204 bhp","5.0","32.25"
"Hyundai i10 Sportz","Pune","2009.0","62500.0","Petrol","Manual","First","20.36 kmpl","1197 CC","78.9 bhp","5.0","2.1"
"Toyota Corolla Altis VL AT","Mumbai","2015.0","68000.0","Petrol","Automatic","Second","14.28 kmpl","1798 CC","138.03 bhp","5.0","9.75"
"Toyota Corolla 1.8 J","Kolkata","2014.0","40748.0","Petrol","Manual","First","14.53 kmpl","1798 CC","138 bhp","5.0","6.3"
"Audi Q3 2.0 TDI Quattro","Hyderabad","2013.0","60000.0","Diesel","Automatic","First","17.32 kmpl","1968 CC","184 bhp","5.0","21.0"
"Hyundai i20 Magna Optional 1.4 CRDi","Mumbai","2014.0","12400.0","Diesel","Manual","First","21.9 kmpl","1396 CC","88.8 bhp","5.0","4.65"
"Mercedes-Benz New C-Class C 220d Avantgarde Edition C","Mumbai","2013.0","87000.0","Diesel","Automatic","Second","19.27 kmpl","2143 CC","167.62 bhp","5.0","17.0"
"Maruti Ritz VDi","Pune","2013.0","20248.0","Diesel","Manual","First","21.1 kmpl","1248 CC","73.9 bhp","5.0","4.35"
"Hyundai Creta 1.6 SX Plus Diesel","Coimbatore","2017.0","52383.0","Diesel","Manual","First","19.67 kmpl","1582 CC","126.2 bhp","5.0","14.82"
"Jaguar XE 2.0L Diesel Prestige","Delhi","2018.0","1000.0","Diesel","Automatic","First","13.6 kmpl","1999 CC","177 bhp","5.0","40.0"
"Mahindra Xylo D4","Chennai","2016.0","85000.0","Diesel","Manual","First","14.95 kmpl","2489 CC","93.7 bhp","7.0","6.15"
"Toyota Innova 2.5 G (Diesel) 7 Seater","Ahmedabad","2014.0","47000.0","Diesel","Manual","First","12.99 kmpl","2494 CC","100.6 bhp","7.0","11.25"
"Toyota Camry 2.5 Hybrid","Pune","2018.0","17585.0","Petrol","Automatic","First","19.16 kmpl","2494 CC","157.7 bhp","5.0","32.0"
"Audi Q5 3.0 TDI Quattro","Coimbatore","2018.0","32496.0","Diesel","Automatic","First","13.22 kmpl","2967 CC","241.4 bhp","5.0","45.62"
"Maruti Swift VDI","Kochi","2017.0","34613.0","Diesel","Manual","First","28.4 kmpl","1248 CC","74 bhp","5.0","6.24"
"Maruti Ertiga VDI Limited Edition","Chennai","2015.0","153000.0","Diesel","Manual","First","20.77 kmpl","1248 CC","88.76 bhp","7.0","4.8"
"Maruti Swift VXi BSIV","Chennai","2014.0","54000.0","Petrol","Manual","Second","16.1 kmpl","1197 CC","85 bhp","5.0","4.5"
"Hyundai i10 Sportz","Kochi","2015.0","16900.0","Petrol","Manual","First","20.36 kmpl","1197 CC","78.9 bhp","5.0","3.87"
"Hyundai i10 Sportz","Delhi","2013.0","62334.0","Petrol","Manual","First","20.36 kmpl","1197 CC","78.9 bhp","5.0","2.75"
"Maruti Baleno Sigma 1.2","Kochi","2018.0","23714.0","Petrol","Manual","First","21.4 kmpl","1197 CC","83.1 bhp","5.0","6.57"
"Hyundai Accent Executive","Jaipur","2010.0","52325.0","Petrol","Manual","First","16.36 kmpl","1495 CC","93.7 bhp","5.0","2.0"
"Honda Brio S MT","Ahmedabad","2012.0","50000.0","Petrol","Manual","First","19.4 kmpl","1198 CC","86.8 bhp","5.0","3.65"
"Maruti Swift ZDi","Hyderabad","2016.0","55746.0","Diesel","Manual","First","22.9 kmpl","1248 CC","74 bhp","5.0","6.95"
"Hyundai Xcent 1.2 VTVT S","Bangalore","2014.0","54000.0","Petrol","Manual","First","20.14 kmpl","1197 CC","81.86 bhp","5.0","5.5"
"Mahindra XUV500 W8 2WD","Kolkata","2013.0","43000.0","Diesel","Manual","First","16.0 kmpl","2179 CC","140 bhp","7.0","7.0"
"Mercedes-Benz E-Class E250 CDI Avantgrade","Delhi","2014.0","40000.0","Diesel","Automatic","First","13.0 kmpl","2143 CC","201.1 bhp","5.0","24.0"
"Land Rover Freelander 2 TD4 S","Bangalore","2010.0","125000.0","Diesel","Automatic","Second","0.0 kmpl","2179 CC","115 bhp","5.0","11.0"
"Mercedes-Benz New C-Class C 220 CDI Avantgarde","Bangalore","2016.0","51944.0","Diesel","Automatic","First","19.27 kmpl","2143 CC","170 bhp","5.0","32.5"
"Hyundai i20 Asta 1.4 CRDi","Kochi","2015.0","46950.0","Diesel","Manual","First","21.27 kmpl","1396 CC","88.76 bhp","5.0","6.45"
"Skoda Octavia Elegance 2.0 TDI AT","Mumbai","2015.0","23000.0","Diesel","Automatic","First","19.3 kmpl","1968 CC","141 bhp","5.0","15.75"
"Honda City 1.5 S MT","Mumbai","2014.0","54546.0","Petrol","Manual","First","17.0 kmpl","1497 CC","118 bhp","5.0","5.5"
"Toyota Fortuner 4x2 AT","Kochi","2015.0","51535.0","Diesel","Automatic","First","12.55 kmpl","2982 CC","168.5 bhp","7.0","19.03"
"Audi Q3 2.0 TDI Quattro","Kolkata","2013.0","45000.0","Diesel","Automatic","First","17.32 kmpl","1968 CC","184 bhp","5.0","15.25"
"Maruti Alto K10 2010-2014 VXI","Hyderabad","2012.0","46004.0","Petrol","Manual","First","20.92 kmpl","998 CC","67.1 bhp","5.0","2.4"
"Tata Indigo eCS LX BSIV","Chennai","2011.0","124000.0","Diesel","Manual","First","23.03 kmpl","1396 CC","69 bhp","5.0","2.3"
"Audi A4 2.0 TDI 177 Bhp Premium Plus","Kochi","2014.0","77395.0","Diesel","Automatic","First","17.11 kmpl","1968 CC","174.33 bhp","5.0","14.35"
"Maruti Alto 800 2016-2019 CNG LXI","Mumbai","2018.0","10600.0","CNG","Manual","First","33.44 km/kg","796 CC","40.3 bhp","4.0","3.5"
"Honda City i-VTEC CVT VX","Kochi","2018.0","22974.0","Petrol","Automatic","First","18.0 kmpl","1497 CC","117.3 bhp","5.0","11.97"
"Hyundai Santro GLS I - Euro II","Jaipur","2009.0","89000.0","Petrol","Manual","Second","0.0 kmpl","999 CC","null bhp","5.0","1.6"
"Toyota Fortuner 2.8 2WD MT","Ahmedabad","2015.0","65012.0","Diesel","Manual","First","14.24 kmpl","2755 CC","174.5 bhp","7.0","18.9"
"Hyundai Grand i10 Sportz","Ahmedabad","2017.0","17125.0","Petrol","Manual","First","18.9 kmpl","1197 CC","82 bhp","5.0","5.4"
"Maruti Eeco 7 Seater Standard","Hyderabad","2015.0","90413.0","Petrol","Manual","First","15.1 kmpl","1196 CC","73 bhp","7.0","2.95"
"Volkswagen Polo Petrol Highline 1.2L","Bangalore","2013.0","37000.0","Petrol","Manual","First","16.47 kmpl","1198 CC","73.9 bhp","5.0","5.1"
"Maruti Wagon R LXI Minor","Jaipur","2006.0","65000.0","Petrol","Manual","First","18.9 kmpl","1061 CC","67 bhp","5.0","1.5"
"Honda City 1.5 V MT","Bangalore","2011.0","66000.0","Petrol","Manual","First","17.0 kmpl","1497 CC","118 bhp","5.0","4.9"
"Honda Civic 2010-2013 1.8 S MT","Mumbai","2010.0","86000.0","Petrol","Manual","First","14.8 kmpl","1799 CC","130.2 bhp","5.0","2.9"
"Honda City 1.5 EXI","Pune","2005.0","98437.0","Petrol","Manual","First","13.0 kmpl","1493 CC","100 bhp","5.0","1.15"
"Hyundai i20 1.2 Magna","Kolkata","2010.0","18000.0","Petrol","Manual","First","18.5 kmpl","1197 CC","80 bhp","5.0","2.3"
"Hyundai Grand i10 CRDi Sportz Celebration Edition","Kochi","2018.0","35070.0","Diesel","Manual","First","24.0 kmpl","1120 CC","70 bhp","5.0","5.99"
"Volkswagen Vento Petrol Highline AT","Pune","2011.0","42000.0","Petrol","Automatic","Third","14.4 kmpl","1598 CC","103.6 bhp","5.0","3.4"
"Hyundai i10 Sportz 1.2","Kolkata","2009.0","40000.0","Petrol","Manual","First","20.36 kmpl","1197 CC","78.9 bhp","5.0","1.7"
"Hyundai i20 Asta","Kolkata","2009.0","43000.0","Petrol","Manual","First","17.0 kmpl","1197 CC","80 bhp","5.0","1.99"
"Chevrolet Beat LS","Pune","2012.0","65000.0","Petrol","Manual","First","18.6 kmpl","1199 CC","79.4 bhp","5.0","2.5"
"Volkswagen Polo Diesel Highline 1.2L","Hyderabad","2013.0","74000.0","Diesel","Manual","First","22.07 kmpl","1199 CC","73.9 bhp","5.0","4.85"
"Ford Figo Petrol LXI","Hyderabad","2010.0","51192.0","Petrol","Manual","First","15.6 kmpl","1196 CC","70 bhp","5.0","2.65"
"Audi TT 2.0 TFSI","Kochi","2014.0","14262.0","Petrol","Automatic","First","9.9 kmpl","1984 CC","207.8 bhp","2.0","27.35"
"Honda City i DTEC VX","Jaipur","2015.0","66339.0","Diesel","Manual","Second","25.1 kmpl","1498 CC","98.6 bhp","5.0","6.9"
"Ford Figo Diesel Titanium","Hyderabad","2013.0","90200.0","Diesel","Manual","First","20.0 kmpl","1399 CC","68.05 bhp","5.0","3.5"
"Toyota Innova 2.5 ZX Diesel 7 Seater","Delhi","2015.0","57854.0","Diesel","Manual","First","12.99 kmpl","2494 CC","100.6 bhp","7.0","12.5"
"Maruti Ciaz 1.4 AT Alpha","Delhi","2017.0","32000.0","Petrol","Automatic","First","19.12 kmpl","1373 CC","91.1 bhp","5.0","9.2"
"Hyundai Grand i10 AT Asta","Mumbai","2015.0","29631.0","Petrol","Automatic","First","18.9 kmpl","1197 CC","82 bhp","5.0","4.9"
"Honda City 1.3 DX","Delhi","2009.0","55005.0","Petrol","Manual","First","12.8 kmpl","","","","3.2"
"Ford EcoSport 1.0 Ecoboost Titanium Plus BE","Kochi","2014.0","54173.0","Petrol","Manual","First","18.88 kmpl","999 CC","123.24 bhp","5.0","5.55"
"Skoda Octavia Ambition 1.8 TSI AT","Ahmedabad","2014.0","50000.0","Petrol","Automatic","First","14.7 kmpl","1798 CC","177.6 bhp","5.0","13.5"
"Fiat Linea Emotion (Diesel)","Kolkata","2010.0","145000.0","Diesel","Manual","First","20.4 kmpl","1248 CC","91.7 bhp","5.0","2.6"
"Maruti Swift Lxi BSIII","Jaipur","2015.0","78000.0","Petrol","Manual","First","16.1 kmpl","1298 CC","88.2 bhp","5.0","4.5"
"Land Rover Discovery 4 TDV6 SE","Delhi","2013.0","65000.0","Diesel","Automatic","Second","11.8 kmpl","2993 CC","180 bhp","7.0","34.0"
"Toyota Innova 2.5 V Diesel 7-seater","Hyderabad","2012.0","120000.0","Diesel","Manual","First","12.8 kmpl","2494 CC","102 bhp","7.0","12.0"
"Maruti Swift LDI","Mumbai","2015.0","14000.0","Diesel","Manual","First","28.4 kmpl","1248 CC","74 bhp","5.0","5.25"
"Audi A6 2011-2015 2.0 TDI Premium Plus","Kochi","2014.0","57456.0","Diesel","Automatic","First","17.68 kmpl","1968 CC","174.33 bhp","5.0","21.56"
"BMW 5 Series 520d Luxury Line","Coimbatore","2012.0","44450.0","Diesel","Automatic","First","22.48 kmpl","1995 CC","190 bhp","5.0","24.68"
"Hyundai i20 Magna Optional 1.2","Delhi","2013.0","63777.0","Petrol","Manual","First","18.5 kmpl","1197 CC","82.9 bhp","5.0","3.67"
"BMW X1 M Sport sDrive 20d","Mumbai","2016.0","31000.0","Diesel","Automatic","First","17.05 kmpl","1995 CC","190 bhp","5.0","29.5"
"Toyota Etios G","Delhi","2012.0","60000.0","Petrol","Manual","First","17.6 kmpl","1496 CC","88.73 bhp","5.0","3.1"
"Tata Indigo LX","Ahmedabad","2015.0","78008.0","Diesel","Manual","First","17.0 kmpl","1405 CC","70 bhp","5.0","2.9"
"Mercedes-Benz M-Class ML 350 4Matic","Bangalore","2014.0","33000.0","Diesel","Automatic","Second","0.0 kmpl","2987 CC","165 bhp","5.0","43.0"
"Volkswagen Beetle 2.0","Mumbai","2009.0","27078.0","Petrol","Automatic","First","10.98 kmpl","1984 CC","114.4 bhp","4.0","15.95"
"Volkswagen Polo GT TDI","Hyderabad","2011.0","57275.0","Diesel","Manual","First","19.7 kmpl","1598 CC","103.6 bhp","5.0","4.5"
"Hyundai Grand i10 CRDi Magna","Delhi","2014.0","45000.0","Diesel","Manual","First","24.0 kmpl","1120 CC","70 bhp","5.0","3.49"
"Maruti Swift VDI BSIV","Delhi","2014.0","57319.0","Diesel","Manual","First","25.2 kmpl","1248 CC","74 bhp","5.0","4.25"
"Hyundai Verna CRDi 1.4 E","Chennai","2008.0","121097.0","Diesel","Manual","Second","24.0 kmpl","1396 CC","88.76 bhp","5.0","1.9"
"BMW 5 Series 2003-2012 525d","Mumbai","2011.0","89000.0","Diesel","Automatic","First","16.73 kmpl","1995 CC","218 bhp","5.0","16.57"
"Honda City 1.5 S MT","Bangalore","2012.0","72000.0","Petrol","Manual","First","17.0 kmpl","1497 CC","118 bhp","5.0","5.75"
"Audi A4 2.0 TDI","Delhi","2013.0","36000.0","Diesel","Automatic","Second","16.55 kmpl","1968 CC","147.51 bhp","5.0","14.0"
"Fiat Linea Classic Plus 1.3 Multijet","Jaipur","2013.0","86000.0","Diesel","Manual","Second","19.5 kmpl","1248 CC","75 bhp","5.0","2.5"
"Honda City 1.3 EXI","Ahmedabad","2002.0","85000.0","Petrol","Manual","First","13.0 kmpl","1343 CC","90 bhp","5.0","1.2"
"Fiat Petra 1.2 EL","Pune","2005.0","120000.0","Petrol","Manual","Second","15.5 kmpl","1242 CC","null bhp","5.0","0.85"
"BMW 3 Series 320d Luxury Line","Kochi","2013.0","37613.0","Diesel","Automatic","First","22.69 kmpl","1995 CC","190 bhp","5.0","13.95"
"Ford Fiesta 1.4 Duratec EXI","Chennai","2007.0","100000.0","Petrol","Manual","First","16.6 kmpl","1388 CC","68 bhp","5.0","1.6"
"Tata Nano XTA","Coimbatore","2016.0","5240.0","Petrol","Automatic","First","21.9 kmpl","624 CC","37.48 bhp","4.0","3.6"
"Maruti Eeco 5 STR With AC Plus HTR CNG","Mumbai","2018.0","20000.0","CNG","Manual","First","15.1 km/kg","1196 CC","73 bhp","5.0","4.5"
"Maruti Ignis 1.2 Delta","Coimbatore","2019.0","16862.0","Petrol","Manual","First","20.89 kmpl","1197 CC","81.80 bhp","5.0","6.06"
"Maruti Swift Dzire ZXi","Coimbatore","2013.0","59254.0","Petrol","Manual","Second","17.5 kmpl","1298 CC","85.8 bhp","5.0","5.29"
"Ford Ecosport 1.5 DV5 MT Titanium","Jaipur","2014.0","60000.0","Diesel","Manual","First","22.7 kmpl","1498 CC","89.84 bhp","5.0","5.75"
"Maruti Swift 1.3 ZXI","Hyderabad","2015.0","50295.0","Petrol","Manual","First","16.1 kmpl","","","","5.8"
"Maruti Swift Dzire VXI","Coimbatore","2014.0","47674.0","Petrol","Manual","First","19.1 kmpl","1197 CC","85.8 bhp","5.0","5.72"
"Hyundai i10 Sportz AT","Kochi","2014.0","61517.0","Petrol","Automatic","First","16.95 kmpl","1197 CC","78.9 bhp","5.0","4.39"
"Mahindra XUV500 W6 2WD","Coimbatore","2016.0","62946.0","Diesel","Manual","First","15.1 kmpl","2179 CC","140 bhp","7.0","11.05"
"Hyundai i20 Magna 1.4 CRDi","Delhi","2015.0","66823.0","Diesel","Manual","Second","22.54 kmpl","1396 CC","88.73 bhp","5.0","4.83"
"Maruti Wagon R CNG LXI","Pune","2013.0","79494.0","CNG","Manual","First","33.54 km/kg","998 CC","67.04 bhp","5.0","2.96"
"Hyundai i20 Asta 1.4 CRDi","Chennai","2012.0","107000.0","Diesel","Manual","Second","21.27 kmpl","1396 CC","88.76 bhp","5.0","4.5"
"BMW 7 Series 730Ld","Mumbai","2011.0","55000.0","Diesel","Automatic","Second","16.46 kmpl","2993 CC","258 bhp","5.0","19.5"
"Skoda Rapid 1.6 MPI AT Style Plus","Mumbai","2017.0","24000.0","Petrol","Automatic","First","14.3 kmpl","1598 CC","103.52 bhp","5.0","8.75"
"Audi Q7 45 TDI Quattro Technology","Mumbai","2016.0","20002.0","Diesel","Automatic","First","14.75 kmpl","2967 CC","245 bhp","7.0","67.0"
"Honda City i VTEC VX","Kochi","2016.0","54317.0","Petrol","Manual","First","17.4 kmpl","1497 CC","117.3 bhp","5.0","8.4"
"Hyundai Xcent 1.2 Kappa SX","Mumbai","2016.0","10200.0","Petrol","Manual","First","19.1 kmpl","1197 CC","82 bhp","5.0","4.99"
"Honda City i DTec E","Coimbatore","2016.0","24337.0","Diesel","Manual","First","26.0 kmpl","1498 CC","98.6 bhp","5.0","8.18"
"Honda Brio S Option MT","Pune","2012.0","79000.0","Petrol","Manual","First","18.4 kmpl","1198 CC","86.8 bhp","5.0","2.9"
"Maruti Ciaz ZDi Plus SHVS","Jaipur","2015.0","40500.0","Diesel","Manual","First","28.09 kmpl","1248 CC","88.5 bhp","5.0","7.1"
"Maruti Swift Dzire VDI Optional","Pune","2016.0","23000.0","Diesel","Manual","First","26.59 kmpl","1248 CC","74 bhp","5.0","7.05"
"Honda CR-V 2.4L 4WD AT","Pune","2015.0","63050.0","Petrol","Automatic","First","11.1 kmpl","2354 CC","158.8 bhp","5.0","17.5"
"Toyota Corolla Altis 2008-2013 1.8 VL AT","Mumbai","2008.0","78000.0","Petrol","Automatic","Second","14.53 kmpl","1794 CC","138.1 bhp","5.0","3.41"
"Maruti Baleno Vxi","Pune","2005.0","70000.0","Petrol","Manual","First","0.0 kmpl","1590 CC","null bhp","5.0","1.3"
